country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,36.9M,91.2M,39.3M,34.9M,46.5M,48.5M,40.2M,44.3M,38.2M,26.9M,33M,25.9M,37.3M,16.7M,−11.2M,,,,,,,,,,,,,,,,,,,,
Afghanistan,117M,232M,113M,238M,296M,342M,312M,248M,171M,155M,164M,242M,279M,251M,201M,244M,249M,270M,212M,249M,66.4M,54.5M,25.2M,37.2M,18.2M,42.5M,5.94M,86.5M,127M,253M,194M,749M,300M,333M,329M,271M,219M,330M,238M,209M,216M,683M,1.79B,1.97B,2.68B,3.31B,3.29B,5.22B,4.93B,6.46B,6.42B,6.62B,6.51B,5.01B,4.82B,4.48B,4.29B,3.96B,3.79B,4.34B
Angola,−390k,282M,,210k,,13M,30.2M,185M,60k,−1.11M,−460k,−100k,660k,1M,1.68M,17.8M,59.9M,155M,125M,107M,113M,139M,149M,197M,259M,245M,282M,243M,268M,290M,398M,405M,462M,436M,641M,551M,610M,515M,488M,564M,461M,447M,605M,635M,1.35B,471M,187M,267M,359M,249M,236M,191M,242M,276M,227M,409M,220M,232M,163M,49.2M
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31M,18M,16.3M,463M,564M,404M,223M,226M,294M,234M,379M,703M,491M,424M,453M,443M,352M,355M,358M,308M,339M,339M,354M,346M,336M,253M,261M,338M,180M,175M,344M,31.4M
United Arab Emirates,4.08M,5.18M,3.98M,3.56M,4.67M,120k,10.3M,12.4M,9.74M,7M,32.5M,32.3M,24.5M,3.58M,2.48M,14.8M,3.62M,113M,4.41M,16.5M,9.18M,−530k,11.3M,10.6M,8.6M,10.1M,72.3M,200M,−21.2M,−11.3M,4.84M,−12.9M,−13.1M,−14.1M,−11.1M,5.31M,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,220M,360M,346M,206M,−34.4M,−443M,−119M,64.5M,−39.8M,51.5M,−33.3M,29.1M,6.71M,61.6M,65M,43.5M,50.7M,51.8M,43.5M,65.5M,96.2M,89.5M,76.5M,89.7M,87.4M,105M,147M,139M,231M,337M,246M,383M,342M,358M,227M,166M,152M,130M,94.2M,95.8M,86.1M,251M,150M,151M,111M,104M,124M,90.4M,116M,109M,120M,90.3M,173M,33.8M,46.1M,−21.1M,3.18M,−1.78M,73.1M,16.4M
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33M,35.4M,170M,284M,286M,392M,228M,272M,293M,309M,313M,420M,321M,305M,200M,242M,370M,299M,398M,316M,368M,265M,269M,253M,377M,359M,272M,142M,428M
Antigua and Barbuda,,,,,,,,,,,,,,50k,14.8M,8.38M,11.6M,18M,11.1M,8.9M,12.8M,20.9M,11.6M,8.01M,5.65M,6.69M,10.3M,10.5M,14.7M,7.1M,6.79M,9.95M,6.54M,4.4M,5.91M,2.86M,4.93M,5.82M,12.4M,11.6M,13.3M,11.1M,15.9M,6.32M,1.88M,8.21M,3.42M,4.88M,5.34M,4.07M,18M,12.4M,1.86M,1.51M,2.43M,1.65M,−200k,10.7M,17.6M,28M
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330k,9.81M,33.7M,216M,150M,125M,252M,167M,235M,188M,297M,451M,366M,205M,235M,220M,213M,213M,212M,155M,247M,241M,−73M,200M,73.3M,78.7M,126M,87.4M,126M
Burundi,76M,72M,103M,56.5M,71.4M,41.4M,69.9M,80.4M,97M,108M,123M,139M,148M,134M,163M,176M,163M,153M,205M,231M,262M,307M,324M,363M,373M,378M,408M,349M,338M,355M,398M,376M,427M,309M,422M,355M,143M,81M,101M,111M,145M,231M,260M,297M,421M,419M,474M,506M,494M,566M,618M,534M,504M,530M,488M,394M,788M,456M,451M,602M
