country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0.753,0.759,0.799,0.803,0.807,0,0,0,0,0,0,0,0,0,0,0,1.42,1.41,1.41,1.41,1.41,1.26,1.26,1.26,1.27,1.28,1.25,1.24,1.21,1.17,1.18,1.18,1.19,0
Angola,,0,0,0,0,0,,,,,,,,,,,,1.15,1.1,1.09,1.1,1.1,1.1,1.11,1.11,1.1,1.1,1.11,1.1,1.11,1.11,1.11,1.12,1.04,1.05,1.05,1.04,1.03,1.03,1.03,1.03,1.03,1.1,1.1,1.1,1.09,1.1
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764,0.922,0.915,8,0.923,0.667,6.67,10.7,10.7,11.1,13.6,13.1,12.5,12,12.1,11.5,10.8,10.1,9.18,8.57,7.92,7.29,7.08,6.49,5.79,5.1,5.08,5.08,5.06,4.97,4.73
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1.8,1.79,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.81,1.8,1.74,1.73,1.69,1.69,1.65,1.65,1.74,1.73,1.82,1.82,1.71,1.71,1.82,1.84,1.86,1.88,1.88
Armenia,,,,,,,,,,,,,,,,,9.76,0,0,0,9.73,9.64,9.66,9.26,9.56,8.94,8.43,7.48,6,6.03,6.59,6.61,7.16,5.86,5.89,5.6,5.33,5.99,5.52,5.18,7.42,7.41,9.17,11.4,11.4,10.2,12.1
Australia,20.3,20.3,39.2,39,39.1,39.2,39.2,36.8,34.6,34.7,33.8,32.7,31.3,30.2,29.1,28,26.8,25.6,22.5,19.2,15.8,12.5,10.5,8.33,21.2,21.2,21.2,21.1,21.2,19.1,17,14.8,13.1,10.9,8.7,6.58,4.37,4.38,4.27,4.27,4.27,4.24,22.3,22.3,20.7,20.5,20.5
Austria,4.03,4.04,4.02,23.5,23.5,23.5,23.6,23.5,21.1,18.7,16.3,13.8,11.4,8.9,6.46,4.02,4.02,4.03,4.01,18.3,18.4,18.4,18.4,18.4,17.4,16.6,15.7,14.6,13.6,12.7,11.7,11,10,9.04,8.15,7.15,6.14,5.15,24.1,24.1,24,21.8,22.6,20.2,18.8,16.3,13.8
Azerbaijan,,,,,,,,,,,,,,,,,3.99,0,8.01,0,7.61,7.63,7.76,7.3,7.32,6.14,5.73,6.5,6.45,6.47,6.76,6.69,6.3,6.98,7.79,7.08,7.03,7.07,5.36,5.04,5.33,5.87,5.91,5.42,5.4,6.04,5.37
Burundi,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,17.2,16.6,16.6,16.6,0,0,0,0,0,0,0,0,18,17.3,17.3,17.2,17.2,9.58,8.84,8.3,7.5,6.73,1.9,1.8,1.62,3,2.92,5.34,5.26
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,2.13,2.12,2.12,2.13,2.13,2.15,2.14,2.14,2.14,2.14,2.14,2.15,2.24,2.24,2.24,2.24,2.25,2.25,2.26,2.25,2.25,2.25,2.25,2.25,2.23,2.24,2.25
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,18,18,18,18.1,17.4,16.1,15,13.9,12.5,11.4,10.3,9.23,8.02,6.98,6.17,5.65,4.37,3.16,1.97,1.98,1.76,1.76,1.77,1.78,2,2.1,2.1,2.09,1.28,1.29,2.32
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,1.01,1.01,1.01,1.01,1.01,15,14.2,13.2,12.5,11.6,10.3,9.38,8.39,7.87,6.88,5.86,4.83,3.81,2.87,2.88,3.02,3.04,3.11,3.61,3.61,3.63,3.58,3.57,3.39,3.41
Bangladesh,2.31,0,0,14.9,15.3,15.3,15.3,14.1,0,0,0,12.8,12.9,9.99,9.96,10.5,19.4,19.1,19.1,19.1,19.1,18.1,17,15.9,14.9,13.8,12.3,10.7,9.69,8.68,7.68,6.69,0,4.74,3.71,2.72,2.74,0,0,0,0,0,0,0,0,0,0
Bulgaria,6.04,5.66,5.3,4.93,4.53,4.18,3.93,3.48,3.12,2.75,2.44,2.06,1.7,1.33,0.974,1.8,1.85,2.22,2.22,2.23,2.22,2.4,2.41,2.4,2.4,2.4,2.41,2.42,2.41,2.41,2.27,2.3,2.3,2.3,6.07,6.08,6.19,6.21,26.7,26.9,27,48.1,43.3,42.2,41.2,39.8,36.1
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,13.2,13.2,13.7,13,12.2,11.4,10.5,9.15,8.35,7.57,6.81,4.69,4.06,3.48,2.89,2.02,1.45,0.91,0.918
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,,,,,,,,,,,,,,,,,0,0,0,0.874,15.7,15.7,14.3,14.3,14.3,7.85,7.76,7.34,6.92,6.68,6.72,6.02,6,6.62,6.27,5.02,4.8,5.88,5.53,5.17,4.93,4.53,4.18,3.78,3.3,2.47,2.19
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8,26.7,49.3,49,48.9,59.6,58.9,56.4,53.3,49.3,42.5,38.2,35.5,31.8,27.9,18.3,21.4,20.1
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,2.25,2.31,2.31,2.33,2.31,2.5,2.5,2.5,2.5,2.56,2.54,2.55,2.55,2.55,2.56,2.56,23.5,23.6,23.7,23.6,23.7,21.8,19.1,16.3,13.6,10.8,8.01,5.27,2.6,2.1,2.1,2.16,2.19
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
